SAMPID	SMATSSCR	SMCENTER	SMRIN	SMTS	SMTSD	SMUBRID	SMTSISCH	SMTSPAX	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SMAFRZE	SMGTC	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-111FC-0001-SM-5DWSO	NA	B1	NA	Blood	Whole Blood	0013756	963	NA	BP-38625	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/06/2013	GTEx_OM25_Dec_01	01/29/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111FC-0001-SM-6WBTJ	NA	B1	NA	Blood	Whole Blood	0013756	963	NA	BP-38625	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/06/2013	LCSET-6056	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111FC-0426-SM-5N9CV	1	B1	7.8	Blood Vessel	Artery - Tibial	0007610	1046	862	BP-45139	RNA Extraction from Paxgene-derived Lysate Plate Based	10/28/2013	LCSET-4904	03/22/2014	TruSeq.v1	RNASEQ		0.992338	142487	0.975816	NA	0.993075	0.840283	NA	21257	1	NA	76	NA	0.00271524	147	0	70447000	0.0237288	209991	70938200	3158400	NA	21269	35076200	NA	NA	0	0.135532	0.993075	0.834465	70447000	0.00324538	15155300	5489710	15182200	155	15120000	14788300	0.00298011	15271100	50.2487	0.0029602	0.993812	NA	0	50.0443
GTEX-111FC-0626-SM-5N9CU	1	B1	7.3	Heart	Heart - Atrial Appendage	0006631	1054	852	BP-45139	RNA Extraction from Paxgene-derived Lysate Plate Based	10/28/2013	LCSET-4904	03/22/2014	TruSeq.v1	RNASEQ		0.992352	166671	0.971632	NA	0.993478	0.792965	NA	22541	1	NA	76	NA	0.00280312	123	0	63575700	0.0280958	1016800	63993000	3077330	NA	22563	31662900	NA	NA	0	0.178667	0.993478	0.787794	63575700	0.00329551	13839300	7024630	13890400	141	13869800	10450100	0.00304904	13927200	50.1033	0.0158892	0.994604	NA	0	50.0921
GTEX-111FC-0826-SM-5GZWO	1	B1	7	Heart	Heart - Left Ventricle	0006566	1060	849	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	09/17/2013	LCSET-4804	03/05/2014	TruSeq.v1	RNASEQ		0.987864	238512	0.979429	NA	0.991899	0.824639	NA	22216	1	NA	76	NA	0.00231171	199	0	79391200	0.0203939	2712100	80039600	10278600	NA	22238	39434200	NA	NA	0	0.15479	0.991899	0.817958	79391200	0.00400837	17595500	13808100	17484900	226	17630500	10281200	0.00315659	17737400	50.151	0.0338844	0.995934	NA	0	49.8423
GTEX-111FC-0826-SM-CYKRT	1	B1	7	Heart	Heart - Left Ventricle	0006566	1060	849	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	09/17/2013			RIP-Seq			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111VG-0004-SM-58Q85	NA	B1	NA	Blood	Whole Blood	0013756	893	NA	BP-38781	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/08/2013	LCSET-4574	01/15/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111VG-0004-SM-5DWSX	NA	B1	NA	Blood	Whole Blood	0013756	893	NA	BP-38781	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/08/2013	GTEx_OM25_Dec_01	01/29/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111VG-0004-SM-6WBTS	NA	B1	NA	Blood	Whole Blood	0013756	893	NA	BP-38781	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/08/2013	LCSET-6056	09/22/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111VG-0326-SM-5GZX7	1	B1	6.4	Heart	Heart - Atrial Appendage	0006631	1006	951	BP-43507	RNA Extraction from Paxgene-derived Lysate Plate Based	09/12/2013	LCSET-4804	03/05/2014	TruSeq.v1	RNASEQ		0.988287	238063	0.979751	NA	0.991944	0.81851	NA	22356	1	NA	76	NA	0.00258903	196	0	77503500	0.0200514	2392870	78132900	9076010	NA	22371	38507800	NA	NA	0	0.161241	0.991944	0.811916	77503500	0.00397898	17143900	15458200	16985700	228	17082400	8656150	0.00328144	17292800	50.306	0.0306257	0.995601	NA	0	49.7683
GTEX-111YS-0004-SM-58Q7Y	NA	B1	NA	Blood	Whole Blood	0013756	-121	NA	BP-38789	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/08/2013	LCSET-4574	01/15/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111YS-0004-SM-5DWSS	NA	B1	NA	Blood	Whole Blood	0013756	-121	NA	BP-38789	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/08/2013	GTEx_OM25_Dec_01	01/28/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111YS-0004-SM-6WBTN	NA	B1	NA	Blood	Whole Blood	0013756	-121	NA	BP-38789	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/08/2013	LCSET-6056	09/21/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-111YS-0006-SM-5NQBE	NA	B1	8.2	Blood	Whole Blood	0013756	-121	NA	BP-38780	RNA isolation_PAXgene Blood RNA (Manual)	05/08/2013	LCSET-4907	03/21/2014	TruSeq.v1	RNASEQ		0.981573	565100	0.965938	NA	0.985108	0.810071	NA	18229	1	NA	76	NA	0.00271236	128	0	79518700	0.0329545	224915	80720700	11154300	NA	18237	39500100	NA	NA	0	0.155867	0.985108	0.798007	79518700	0.00586091	17750400	69342100	18023700	148	18081500	17940700	0.00428098	17976300	49.8542	0.00278633	0.988644	NA	0	50.382
GTEX-111YS-0326-SM-5GZZ3	1	B1	8.5	Heart	Heart - Atrial Appendage	0006631	120	769	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	09/17/2013	LCSET-4804	03/05/2014	TruSeq.v1	RNASEQ		0.987427	263296	0.982231	NA	0.990372	0.836055	NA	20649	1	NA	76	NA	0.00216987	161	0	72421400	0.0174988	1662590	73125500	8414410	NA	20663	35962300	NA	NA	0	0.146176	0.990372	0.828006	72421400	0.0037906	15416200	19062400	15467900	190	15310400	11400800	0.00297783	15763800	50.7295	0.0227362	0.993318	NA	0	50.0837
GTEX-111YS-0426-SM-5987O	1	B1	8	Heart	Heart - Left Ventricle	0006566	124	765	BP-44577	RNA Extraction from Paxgene-derived Lysate Plate Based	10/11/2013	LCSET-4417	01/23/2014	TruSeq.v1	RNASEQ		0.988241	242058	0.984563	NA	0.991696	0.848819	NA	20100	1	NA	76	NA	0.00265771	195	0	79992000	0.0152273	1620360	80661800	14325800	NA	20111	39785100	NA	NA	0	0.135743	0.991696	0.84177	79992000	0.00573418	17821400	23433900	17084300	248	17052700	11180800	0.00419058	18037900	51.4037	0.0200882	0.995151	NA	0	48.9441
GTEX-111YS-0526-SM-5GZXJ	1	B1	7.9	Blood Vessel	Artery - Aorta	0001496	128	761	BP-43507	RNA Extraction from Paxgene-derived Lysate Plate Based	09/12/2013	LCSET-4804	03/05/2014	TruSeq.v1	RNASEQ		0.985152	427352	0.970772	NA	0.989239	0.848449	NA	20785	1	NA	76	NA	0.00211753	137	0	62409900	0.028817	134238	63088800	7980780	NA	20795	30975500	NA	NA	0	0.122323	0.989239	0.839319	62409900	0.00387056	13434400	9505380	13530500	150	13572500	12310000	0.00299042	13643300	50.13	0.00212776	0.993326	NA	0	50.1781
GTEX-111YS-2226-SM-5987P	1	B1	7.8	Blood Vessel	Artery - Tibial	0007610	292	597	BP-44577	RNA Extraction from Paxgene-derived Lysate Plate Based	10/11/2013	LCSET-4417	01/23/2014	TruSeq.v1	RNASEQ		0.983152	253878	0.976322	NA	0.989612	0.846981	NA	20927	1	NA	76	NA	0.00250769	136	0	64848200	0.0232456	197829	65528900	15402500	NA	20936	32137900	NA	NA	0	0.129341	0.989612	0.838183	64848200	0.00735696	13923700	6718980	14014800	141	14144600	12875300	0.0049165	14184400	50.0702	0.00301896	0.996073	NA	0	50.1629
GTEX-1122O-0003-SM-5Q5DL	NA	B1	10	Blood	Cells - EBV-transformed lymphocytes	EFO_0000572	-77	NA	BP-40621	RNA isolation_Trizol Manual (Cell Pellet)	07/10/2013	LCSET-4953	03/27/2014	TruSeq.v1	RNASEQ		0.991067	1069500	0.962693	NA	0.993511	0.802731	NA	22185	1	NA	76	NA	0.00219526	217	0	94526200	0.0369627	461442	95143600	14667400	NA	22216	47047300	NA	NA	0	0.159962	0.993511	0.797522	94526200	0.00332494	20834100	16030000	20938300	235	20990200	21307300	0.00275871	21005500	50.0182	0.00484995	0.995954	NA	0	50.1247
GTEX-1122O-0004-SM-58Q7O	NA	B1	NA	Blood	Whole Blood	0013756	-77	NA	BP-38824	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/09/2013	LCSET-4574	01/15/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1122O-0004-SM-5DWSJ	NA	B1	NA	Blood	Whole Blood	0013756	-77	NA	BP-38824	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/09/2013	GTEx_OM25_Dec_01	01/28/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1122O-0004-SM-6WBTE	NA	B1	NA	Blood	Whole Blood	0013756	-77	NA	BP-38824	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/09/2013	LCSET-6056	09/22/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1122O-0005-SM-5O99J	NA	B1	7.6	Blood	Whole Blood	0013756	-77	NA	BP-38883	RNA isolation_PAXgene Blood RNA (Manual)	05/10/2013	LCSET-4909	03/20/2014	TruSeq.v1	RNASEQ		0.986466	912057	0.944916	NA	0.990744	0.777156	NA	18928	1	NA	76	NA	0.00230212	124	0	71748000	0.0545957	207142	72418300	10494900	NA	18944	35620300	NA	NA	0	0.16776	0.990744	0.769962	71748000	0.00416304	15356500	44305600	15562300	142	15639600	13858300	0.00322856	15603100	49.9416	0.00286035	0.995023	NA	0	50.3328
GTEX-1122O-0426-SM-5H12G	0	B1	7.7	Blood Vessel	Artery - Coronary	0001621	63	940	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	09/17/2013	LCSET-4805	02/27/2014	TruSeq.v1	RNASEQ		0.990352	196630	0.976134	NA	0.993079	0.850295	NA	21204	1	NA	76	NA	0.00193909	143	0	68256900	0.0234723	322122	68732600	8659840	NA	21220	33957400	NA	NA	0	0.125839	0.993079	0.84441	68256900	0.00309214	14521300	5394420	14694400	160	14690700	13967900	0.00251403	14703100	50.021	0.0046866	0.995806	NA	0	50.2963
GTEX-1122O-0626-SM-5N9B9	0	B1	8.6	Heart	Heart - Atrial Appendage	0006631	60	943	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	09/26/2013	LCSET-4904	03/22/2014	TruSeq.v1	RNASEQ		0.992927	244989	0.976755	NA	0.993655	0.831393	NA	21671	1	NA	76	NA	0.00284322	199	0	85161800	0.0229706	1494210	85705600	3999750	NA	21689	42440200	NA	NA	0	0.145362	0.993655	0.826118	85161800	0.00328089	18244400	16399000	18368000	236	18211500	14677000	0.0030619	18466000	50.3469	0.0174342	0.994383	NA	0	50.1687
GTEX-1122O-0826-SM-5GICV	0	B1	8	Heart	Heart - Left Ventricle	0006566	62	941	BP-44261	RNA Extraction from Paxgene-derived Lysate Plate Based	10/03/2013	LCSET-4796	02/27/2014	TruSeq.v1	RNASEQ		0.991328	176137	0.982864	NA	0.993407	0.851392	NA	20223	1	NA	76	NA	0.00290912	195	0	70741800	0.0169145	1433840	71211300	8854360	NA	20230	35231900	NA	NA	0	0.131471	0.993407	0.845779	70741800	0.00343361	15512200	17766200	15306900	203	15228000	10974300	0.00317082	15717800	50.7914	0.0201349	0.995486	NA	0	49.6669
GTEX-1122O-1126-SM-5NQ8X	0	B1	7.1	Blood Vessel	Artery - Aorta	0001496	64	939	BP-43529	RNA Extraction from Paxgene-derived Lysate Plate Based	09/13/2013	LCSET-4906	03/22/2014	TruSeq.v1	RNASEQ		0.993015	171786	0.977001	NA	0.994572	0.865349	NA	19854	1	NA	76	NA	0.00181538	127	0	57496700	0.0226042	147349	57810500	4328170	NA	19860	28616600	NA	NA	0	0.111652	0.994572	0.860651	57496700	0.00275927	12481800	4451910	12539000	142	12481300	11812100	0.00228659	12630500	50.2971	0.00254883	0.996129	NA	0	50.1143
GTEX-1122O-2326-SM-9YFL9	1	B1	6.7	Blood Vessel	Artery - Tibial	0007610	130	873	BP-61198	RNA Extraction from Paxgene-derived Lysate Plate Based	03/03/2015	LCSET-7536	08/08/2015	TruSeq.v1	RNASEQ		0.993045	124502	0.975554	NA	0.994819	0.845436	NA	19918	1	NA	76	NA	0.00233418	121	0	52568900	0.0241014	244120	52842600	1938920	NA	19926	26184400	NA	NA	0	0.130118	0.994819	0.841056	52568900	0.00359675	11269700	3609570	11382000	130	11356800	9989950	0.00296434	11385900	50.0641	0.00461975	0.996593	NA	0	50.2479
GTEX-1128S-0001-SM-58Q96	NA	B1	NA	Blood	Whole Blood	0013756	783	NA	BP-38828	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/09/2013	LCSET-4574	01/20/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1128S-0001-SM-5DWTV	NA	B1	NA	Blood	Whole Blood	0013756	783	NA	BP-38828	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/09/2013	GTEx_OM25_Dec_01	01/29/2014	Illumina OMNI SNP Array	OMNI		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1128S-0001-SM-6WBUH	NA	B1	NA	Blood	Whole Blood	0013756	783	NA	BP-38828	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/09/2013	LCSET-6056	09/22/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-1128S-0005-SM-5P9HI	NA	B1	6.7	Blood	Whole Blood	0013756	783	NA	BP-38883	RNA isolation_PAXgene Blood RNA (Manual)	05/10/2013	LCSET-4916	03/27/2014	TruSeq.v1	RNASEQ		0.973177	1381130	0.946127	NA	0.973843	0.709849	NA	20836	1	NA	76	NA	0.00365126	143	0	113818000	0.0529809	273590	116875000	4173700	NA	20867	56627300	NA	NA	0	0.236279	0.973843	0.691281	113818000	0.00430654	25130200	152046000	25711100	169	25606100	23710500	0.00397868	25358300	49.7569	0.00234088	0.974509	NA	0	50.5713
GTEX-1128S-0326-SM-5GZZF	1	B1	6	Blood Vessel	Artery - Aorta	0001496	828	1017	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	09/17/2013	LCSET-4805	02/27/2014	TruSeq.v1	RNASEQ		0.986297	269426	0.972698	NA	0.989211	0.776625	NA	22774	1	NA	76	NA	0.00223839	154	0	77975800	0.0268661	196192	78826300	10047200	NA	22800	38737800	NA	NA	0	0.196073	0.989211	0.768246	77975800	0.00363426	16802500	7340590	16920400	172	16974700	13611900	0.00293427	16971800	49.9958	0.00248892	0.992126	NA	0	50.1748
GTEX-1128S-2526-SM-5H11N	0	B1	6.1	Blood Vessel	Artery - Tibial	0007610	889	956	BP-43783	RNA Extraction from Paxgene-derived Lysate Plate Based	09/19/2013	LCSET-4805	02/27/2014	TruSeq.v1	RNASEQ		0.988223	155651	0.975075	NA	0.991076	0.83413	NA	21007	1	NA	76	NA	0.0021005	145	0	62344400	0.0246285	355285	62905700	8047260	NA	21019	30997000	NA	NA	0	0.140945	0.991076	0.826686	62344400	0.00364071	13422100	6275280	13552100	153	13535700	11408300	0.00286839	13612100	50.1407	0.0056479	0.993929	NA	0	50.241
GTEX-113IC-0001-SM-58Q97	NA	B1	NA	Blood	Whole Blood	0013756	-351	NA	BP-38890	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	05/10/2013	LCSET-4574	01/20/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
